日期,产品,价格
2011年1月1日,洋白菜,1.1
2011年1月2日,洋白菜,1.1
2011年1月3日,洋白菜,1.1
2011年1月4日,洋白菜,1.1
2011年1月5日,洋白菜,1.1
2011年1月7日,洋白菜,1.1
2011年1月8日,洋白菜,1.1
2011年1月9日,洋白菜,1.1
2011年1月10日,洋白菜,1.1
2011年1月11日,洋白菜,1.1
2011年1月12日,洋白菜,1.1
2011年1月13日,洋白菜,1.1
2011年1月14日,洋白菜,1.1
2011年1月15日,洋白菜,1.1
2011年1月16日,洋白菜,1.1
2011年1月17日,洋白菜,1.1
2011年1月18日,洋白菜,1.1
2011年1月19日,洋白菜,1.1
2011年1月20日,洋白菜,1.1
2011年1月21日,洋白菜,1.1
2011年1月22日,洋白菜,1.1
2011年1月23日,洋白菜,1.1
2011年1月25日,洋白菜,1.1
2011年1月26日,洋白菜,1.1
2011年1月27日,洋白菜,1.1
2011年1月29日,洋白菜,1.1
2011年1月30日,洋白菜,1.1
2011年1月31日,洋白菜,1.1
2011年2月1日,洋白菜,1.1
2011年2月2日,洋白菜,1.1
2011年2月8日,洋白菜,1
2011年2月9日,洋白菜,1
2011年2月10日,洋白菜,1
2011年2月11日,洋白菜,1
2011年2月12日,洋白菜,0.9
2011年2月13日,洋白菜,0.9
2011年2月14日,洋白菜,0.9
2011年2月15日,洋白菜,0.9
2011年2月16日,洋白菜,0.9
2011年2月17日,洋白菜,0.9
2011年2月18日,洋白菜,0.9
2011年2月19日,洋白菜,0.9
2011年2月20日,洋白菜,0.9
2011年2月21日,洋白菜,0.9
2011年2月22日,洋白菜,0.9
2011年2月24日,洋白菜,0.9
2011年2月25日,洋白菜,0.9
2011年2月26日,洋白菜,0.9
2011年2月27日,洋白菜,0.9
2011年2月28日,洋白菜,0.9
2011年3月1日,洋白菜,0.9
2011年3月2日,洋白菜,0.8
2011年3月3日,洋白菜,0.8
2011年3月4日,洋白菜,0.8
2011年3月5日,洋白菜,0.8
2011年3月6日,洋白菜,0.8
2011年3月7日,洋白菜,0.8
2011年3月8日,洋白菜,0.8
2011年3月9日,洋白菜,0.8
2011年3月10日,洋白菜,0.8
2011年3月11日,洋白菜,0.8
2011年3月12日,洋白菜,0.8
2011年3月13日,洋白菜,0.8
2011年3月14日,洋白菜,0.8
2011年3月15日,洋白菜,0.8
2011年3月16日,洋白菜,0.8
2011年3月18日,洋白菜,0.8
2011年3月19日,洋白菜,0.8
2011年3月20日,洋白菜,0.7
2011年3月21日,洋白菜,0.7
2011年3月22日,洋白菜,0.7
2011年3月23日,洋白菜,0.7
2011年3月24日,洋白菜,0.7
2011年3月25日,洋白菜,0.7
2011年3月26日,洋白菜,0.7
2011年3月27日,洋白菜,0.7
2011年3月28日,洋白菜,0.7
2011年3月29日,洋白菜,0.7
2011年3月31日,洋白菜,0.7
2011年4月1日,洋白菜,0.7
2011年4月2日,洋白菜,0.7
2011年4月3日,洋白菜,0.7
2011年4月4日,洋白菜,0.7
2011年4月5日,洋白菜,0.7
2011年4月6日,洋白菜,0.7
2011年4月7日,洋白菜,0.7
2011年4月8日,洋白菜,0.7
2011年4月9日,洋白菜,0.8
2011年4月10日,洋白菜,0.8
2011年4月11日,洋白菜,0.8
2011年4月12日,洋白菜,0.8
2011年4月13日,洋白菜,1
2011年4月14日,洋白菜,1
2011年4月15日,洋白菜,1
2011年4月16日,洋白菜,1
2011年4月17日,洋白菜,1
2011年4月19日,洋白菜,1
2011年4月20日,洋白菜,1
2011年4月21日,洋白菜,1
2011年4月22日,洋白菜,1
2011年4月24日,洋白菜,1
2011年4月25日,洋白菜,0.6
2011年4月26日,洋白菜,0.6
2011年4月27日,洋白菜,0.6
2011年4月28日,洋白菜,0.6
2011年4月30日,洋白菜,0.6
2011年5月1日,洋白菜,0.6
2011年5月2日,洋白菜,0.6
2011年5月3日,洋白菜,0.6
2011年5月4日,洋白菜,0.6
2011年5月5日,洋白菜,0.6
2011年5月6日,洋白菜,0.6
2011年5月7日,洋白菜,0.6
2011年5月8日,洋白菜,0.5
2011年5月9日,洋白菜,0.5
2011年5月10日,洋白菜,0.5
2011年5月11日,洋白菜,0.5
2011年5月12日,洋白菜,0.7
2011年5月13日,洋白菜,0.7
2011年5月14日,洋白菜,0.7
2011年5月15日,洋白菜,0.7
2011年5月16日,洋白菜,0.7
2011年5月17日,洋白菜,0.7
2011年5月18日,洋白菜,0.7
2011年5月19日,洋白菜,0.7
2011年5月20日,洋白菜,0.7
2011年5月21日,洋白菜,1.2
2011年5月22日,洋白菜,1.2
2011年5月23日,洋白菜,1.2
2011年5月24日,洋白菜,1.2
2011年5月25日,洋白菜,1.2
2011年5月26日,洋白菜,1.2
2011年5月27日,洋白菜,1.2
2011年5月28日,洋白菜,1.2
2011年5月29日,洋白菜,1.2
2011年5月30日,洋白菜,1.2
2011年5月31日,洋白菜,1
2011年6月1日,洋白菜,1
2011年6月2日,洋白菜,1
2011年6月3日,洋白菜,0.9
2011年6月4日,洋白菜,0.9
2011年6月5日,洋白菜,0.9
2011年6月6日,洋白菜,0.9
2011年6月7日,洋白菜,0.9
2011年6月8日,洋白菜,0.9
2011年6月9日,洋白菜,0.9
2011年6月10日,洋白菜,0.9
2011年6月11日,洋白菜,0.9
2011年6月12日,洋白菜,0.9
2011年6月13日,洋白菜,0.9
2011年6月14日,洋白菜,0.9
2011年6月15日,洋白菜,0.9
2011年6月16日,洋白菜,0.9
2011年6月17日,洋白菜,0.9
2011年6月18日,洋白菜,0.9
2011年6月19日,洋白菜,0.9
2011年6月20日,洋白菜,0.9
2011年6月21日,洋白菜,0.9
2011年6月22日,洋白菜,0.9
2011年6月23日,洋白菜,0.9
2011年6月24日,洋白菜,0.9
2011年6月25日,洋白菜,0.9
2011年6月26日,洋白菜,0.9
2011年6月27日,洋白菜,0.9
2011年6月28日,洋白菜,0.9
2011年6月29日,洋白菜,0.9
2011年6月30日,洋白菜,0.9
2011年7月1日,洋白菜,1.2
2011年7月2日,洋白菜,1.2
2011年7月3日,洋白菜,1.2
2011年7月4日,洋白菜,1.2
2011年7月5日,洋白菜,1.2
2011年7月6日,洋白菜,1.2
2011年7月7日,洋白菜,1.2
2011年7月8日,洋白菜,1.2
2011年7月9日,洋白菜,1.2
2011年7月10日,洋白菜,1.2
2011年7月11日,洋白菜,1.2
2011年7月13日,洋白菜,1.2
2011年7月14日,洋白菜,1.2
2011年7月15日,洋白菜,1.2
2011年7月16日,洋白菜,1.2
2011年7月18日,洋白菜,1.2
2011年7月19日,洋白菜,1.2
2011年7月20日,洋白菜,1.2
2011年7月21日,洋白菜,1.2
2011年7月22日,洋白菜,1.2
2011年7月23日,洋白菜,1.2
2011年7月24日,洋白菜,1.2
2011年7月25日,洋白菜,1.2
2011年7月26日,洋白菜,1.2
2011年7月27日,洋白菜,1.2
2011年7月28日,洋白菜,1.2
2011年7月29日,洋白菜,1.2
2011年7月30日,洋白菜,1.2
2011年7月31日,洋白菜,1.2
2011年8月1日,洋白菜,1.2
2011年8月2日,洋白菜,1.2
2011年8月3日,洋白菜,1.2
2011年8月4日,洋白菜,1.2
2011年8月5日,洋白菜,1.2
2011年8月6日,洋白菜,1.2
2011年8月7日,洋白菜,1.2
2011年8月8日,洋白菜,1.2
2011年8月9日,洋白菜,1.2
2011年8月10日,洋白菜,1.2
2011年8月11日,洋白菜,1
2011年8月12日,洋白菜,1
2011年8月13日,洋白菜,1
2011年8月14日,洋白菜,1
2011年8月15日,洋白菜,1
2011年8月16日,洋白菜,1
2011年8月17日,洋白菜,1
2011年8月18日,洋白菜,1
2011年8月19日,洋白菜,1
2011年8月20日,洋白菜,1
2011年8月21日,洋白菜,1
2011年8月22日,洋白菜,1
2011年8月23日,洋白菜,1
2011年8月24日,洋白菜,1
2011年8月25日,洋白菜,1
2011年8月26日,洋白菜,1
2011年8月27日,洋白菜,1
2011年8月28日,洋白菜,1
2011年8月29日,洋白菜,1
2011年8月31日,洋白菜,1
2011年9月1日,洋白菜,1
2011年9月2日,洋白菜,1
2011年9月5日,洋白菜,0.7
2011年9月9日,洋白菜,0.7
2011年9月10日,洋白菜,0.7
2011年9月15日,洋白菜,0.7
2011年9月16日,洋白菜,0.7
2011年9月17日,洋白菜,0.7
2011年9月18日,洋白菜,0.7
2011年9月20日,洋白菜,0.7
2011年9月24日,洋白菜,0.7
2011年9月26日,洋白菜,0.7
2011年9月28日,洋白菜,0.7
2011年10月2日,洋白菜,1
2011年10月11日,洋白菜,1.2
2011年10月14日,洋白菜,1.4
2011年10月17日,洋白菜,1.4
2011年10月18日,洋白菜,1.4
2011年10月19日,洋白菜,1.4
2011年10月20日,洋白菜,1.4
2011年10月21日,洋白菜,1.4
2011年10月22日,洋白菜,1.4
2011年10月23日,洋白菜,1.4
2011年10月26日,洋白菜,1.4
2011年10月28日,洋白菜,1.4
2011年10月30日,洋白菜,0.9
2011年10月31日,洋白菜,0.7
2011年11月4日,洋白菜,0.8
2011年11月7日,洋白菜,0.8
2011年11月8日,洋白菜,0.8
2011年11月14日,洋白菜,0.7
2011年11月15日,洋白菜,0.8
2011年11月19日,洋白菜,0.6
