日期,产品,价格
2021年4月1日,花鲢活鱼,12
2021年4月3日,花鲢活鱼,12
2021年4月4日,花鲢活鱼,12
2021年4月5日,花鲢活鱼,12
2021年4月12日,花鲢活鱼,13
2021年4月14日,花鲢活鱼,13
2021年4月16日,花鲢活鱼,12.4
2021年4月17日,花鲢活鱼,12.4
2021年4月18日,花鲢活鱼,12.4
2021年4月19日,花鲢活鱼,12.4
2021年4月21日,花鲢活鱼,12.4
2021年4月23日,花鲢活鱼,13.6
2021年4月26日,花鲢活鱼,13.6
2021年4月27日,花鲢活鱼,13.6
2021年4月28日,花鲢活鱼,13.6
2021年4月29日,花鲢活鱼,13.6
2021年5月11日,花鲢活鱼,12
2021年5月14日,花鲢活鱼,12
2021年5月18日,花鲢活鱼,12
2021年5月19日,花鲢活鱼,14
2021年5月20日,花鲢活鱼,14
2021年5月21日,花鲢活鱼,14
2021年5月22日,花鲢活鱼,14
2021年5月23日,花鲢活鱼,14
2021年5月24日,花鲢活鱼,14
2021年5月25日,花鲢活鱼,14
2021年5月26日,花鲢活鱼,14
2021年5月28日,花鲢活鱼,20
2021年5月31日,花鲢活鱼,20
2021年6月3日,花鲢活鱼,20
2021年6月5日,花鲢活鱼,18
2021年6月7日,花鲢活鱼,17
2021年6月8日,花鲢活鱼,16
2021年6月10日,花鲢活鱼,16
2021年6月12日,花鲢活鱼,14
2021年6月14日,花鲢活鱼,14
2021年6月16日,花鲢活鱼,14
2021年6月17日,花鲢活鱼,14
2021年6月20日,花鲢活鱼,14
2021年6月21日,花鲢活鱼,14
2021年6月22日,花鲢活鱼,14
2021年6月28日,花鲢活鱼,14
2021年6月29日,花鲢活鱼,14
2021年6月30日,花鲢活鱼,22
2021年7月1日,花鲢活鱼,22
2021年7月2日,花鲢活鱼,22
2021年7月4日,花鲢活鱼,22
2021年7月5日,花鲢活鱼,19
2021年7月6日,花鲢活鱼,19
2021年7月8日,花鲢活鱼,19
2021年7月12日,花鲢活鱼,16
2021年7月13日,花鲢活鱼,16
2021年7月14日,花鲢活鱼,16
2021年7月15日,花鲢活鱼,16
2021年7月17日,花鲢活鱼,16
2021年7月18日,花鲢活鱼,12
2021年7月19日,花鲢活鱼,12
2021年7月20日,花鲢活鱼,16
2021年7月22日,花鲢活鱼,16
2021年7月23日,花鲢活鱼,16
2021年7月24日,花鲢活鱼,16
2021年7月26日,花鲢活鱼,16
2021年7月27日,花鲢活鱼,16
2021年7月28日,花鲢活鱼,16
2021年7月29日,花鲢活鱼,15
2021年7月30日,花鲢活鱼,15
2021年8月3日,花鲢活鱼,15
2021年8月5日,花鲢活鱼,15
2021年8月6日,花鲢活鱼,15
2021年8月7日,花鲢活鱼,15
2021年8月8日,花鲢活鱼,15
2021年8月9日,花鲢活鱼,18
2021年8月10日,花鲢活鱼,18
2021年8月11日,花鲢活鱼,18
2021年8月12日,花鲢活鱼,18
2021年8月13日,花鲢活鱼,18
2021年8月15日,花鲢活鱼,18
2021年8月17日,花鲢活鱼,18
2021年8月18日,花鲢活鱼,18
2021年8月21日,花鲢活鱼,18
2021年8月22日,花鲢活鱼,18
2021年8月23日,花鲢活鱼,18
2021年8月24日,花鲢活鱼,18
2021年8月25日,花鲢活鱼,18
2021年8月30日,花鲢活鱼,18
2021年8月31日,花鲢活鱼,18
2021年9月1日,花鲢活鱼,18
2021年9月4日,花鲢活鱼,18
2021年9月6日,花鲢活鱼,18
2021年9月7日,花鲢活鱼,18
2021年9月8日,花鲢活鱼,18
2021年9月9日,花鲢活鱼,18
2021年9月13日,花鲢活鱼,18
2021年9月17日,花鲢活鱼,18
2021年9月18日,花鲢活鱼,18
2021年9月20日,花鲢活鱼,18
2021年9月21日,花鲢活鱼,18
2021年9月22日,花鲢活鱼,18
2021年9月26日,花鲢活鱼,18
2021年9月27日,花鲢活鱼,18
2021年9月28日,花鲢活鱼,18
2021年10月4日,花鲢活鱼,18
2021年10月5日,花鲢活鱼,18
2021年10月6日,花鲢活鱼,18
2021年10月8日,花鲢活鱼,18
2021年10月10日,花鲢活鱼,18
2021年10月11日,花鲢活鱼,18
2021年10月12日,花鲢活鱼,18
2021年10月13日,花鲢活鱼,14
2021年10月15日,花鲢活鱼,14
2021年10月16日,花鲢活鱼,14
2021年10月17日,花鲢活鱼,14
2021年10月19日,花鲢活鱼,14
2021年10月21日,花鲢活鱼,14
2021年10月23日,花鲢活鱼,14
2021年10月25日,花鲢活鱼,14
2021年10月26日,花鲢活鱼,14
2021年10月30日,花鲢活鱼,14
2021年10月31日,花鲢活鱼,14
2021年11月2日,花鲢活鱼,14
2021年11月3日,花鲢活鱼,14
2021年11月5日,花鲢活鱼,14
2021年11月7日,花鲢活鱼,14
2021年11月10日,花鲢活鱼,14
2021年11月13日,花鲢活鱼,14
2021年11月15日,花鲢活鱼,14
2021年11月16日,花鲢活鱼,14
2021年11月17日,花鲢活鱼,14
2021年11月20日,花鲢活鱼,14
2021年11月21日,花鲢活鱼,14
2021年11月22日,花鲢活鱼,14
2021年11月23日,花鲢活鱼,14
2021年11月25日,花鲢活鱼,14
2021年11月28日,花鲢活鱼,14
2021年11月29日,花鲢活鱼,14
2021年11月30日,花鲢活鱼,14
2021年12月1日,花鲢活鱼,14
2021年12月2日,花鲢活鱼,16
2021年12月3日,花鲢活鱼,16
2021年12月5日,花鲢活鱼,16
2021年12月6日,花鲢活鱼,16
2021年12月7日,花鲢活鱼,16
2021年12月8日,花鲢活鱼,16
2021年12月9日,花鲢活鱼,16
2021年12月10日,花鲢活鱼,16
2021年12月12日,花鲢活鱼,16
2021年12月13日,花鲢活鱼,16
2021年12月14日,花鲢活鱼,16
2021年12月16日,花鲢活鱼,16
2021年12月17日,花鲢活鱼,16
2021年12月18日,花鲢活鱼,16
2021年12月19日,花鲢活鱼,16
2021年12月20日,花鲢活鱼,16
2021年12月21日,花鲢活鱼,22
2021年12月22日,花鲢活鱼,22
2021年12月23日,花鲢活鱼,22
2021年12月24日,花鲢活鱼,22
2021年12月25日,花鲢活鱼,22
2021年12月26日,花鲢活鱼,22
2021年12月27日,花鲢活鱼,22
2021年12月29日,花鲢活鱼,14
2021年12月30日,花鲢活鱼,14
2021年12月31日,花鲢活鱼,14
2022年1月1日,花鲢活鱼,14
2022年1月2日,花鲢活鱼,14
2022年1月3日,花鲢活鱼,14
2022年1月4日,花鲢活鱼,14
2022年1月5日,花鲢活鱼,14
2022年1月6日,花鲢活鱼,14
2022年1月7日,花鲢活鱼,14
2022年1月8日,花鲢活鱼,14
2022年1月11日,花鲢活鱼,14
2022年1月12日,花鲢活鱼,14
2022年1月13日,花鲢活鱼,14
