日期,产品,价格
2011年1月1日,茄子,2.7
2011年1月2日,茄子,2.7
2011年1月3日,茄子,2.7
2011年1月4日,茄子,2.7
2011年1月5日,茄子,2.7
2011年1月7日,茄子,2.7
2011年1月8日,茄子,2.7
2011年1月9日,茄子,2.7
2011年1月10日,茄子,2.7
2011年1月11日,茄子,2.7
2011年1月12日,茄子,2.7
2011年1月13日,茄子,2.7
2011年1月14日,茄子,2.7
2011年1月15日,茄子,4
2011年1月16日,茄子,4
2011年1月17日,茄子,4
2011年1月18日,茄子,4
2011年1月19日,茄子,4
2011年1月20日,茄子,4
2011年1月21日,茄子,4
2011年1月22日,茄子,4
2011年1月23日,茄子,4
2011年1月25日,茄子,4
2011年1月26日,茄子,3.6
2011年1月27日,茄子,3.6
2011年1月29日,茄子,3.6
2011年1月30日,茄子,3.6
2011年1月31日,茄子,3.6
2011年2月1日,茄子,3.6
2011年2月2日,茄子,3.6
2011年2月8日,茄子,3
2011年2月9日,茄子,3
2011年2月10日,茄子,3
2011年2月11日,茄子,3
2011年2月12日,茄子,2.6
2011年2月13日,茄子,2.6
2011年2月14日,茄子,2.6
2011年2月15日,茄子,2.6
2011年2月16日,茄子,2.6
2011年2月17日,茄子,2.6
2011年2月18日,茄子,2.6
2011年2月19日,茄子,2.6
2011年2月20日,茄子,3
2011年2月21日,茄子,3
2011年2月22日,茄子,3
2011年2月24日,茄子,3
2011年2月25日,茄子,3
2011年2月26日,茄子,4.4
2011年2月27日,茄子,4.4
2011年2月28日,茄子,4.4
2011年3月1日,茄子,4.4
2011年3月2日,茄子,5.2
2011年3月3日,茄子,5.2
2011年3月4日,茄子,5.2
2011年3月5日,茄子,5.2
2011年3月6日,茄子,5.2
2011年3月7日,茄子,5.2
2011年3月8日,茄子,6.4
2011年3月9日,茄子,6.4
2011年3月10日,茄子,6.4
2011年3月11日,茄子,6.4
2011年3月12日,茄子,6.4
2011年3月13日,茄子,5
2011年3月14日,茄子,5
2011年3月15日,茄子,5
2011年3月16日,茄子,5
2011年3月18日,茄子,5
2011年3月19日,茄子,5
2011年3月20日,茄子,4
2011年3月21日,茄子,4
2011年3月22日,茄子,4
2011年3月23日,茄子,4
2011年3月24日,茄子,3.2
2011年3月25日,茄子,3.2
2011年3月26日,茄子,3.2
2011年3月27日,茄子,3.2
2011年3月28日,茄子,3.2
2011年3月29日,茄子,3.2
2011年3月31日,茄子,2.4
2011年4月1日,茄子,2.4
2011年4月2日,茄子,2.4
2011年4月3日,茄子,2.4
2011年4月4日,茄子,2.4
2011年4月5日,茄子,2.4
2011年4月6日,茄子,2.4
2011年4月7日,茄子,2.4
