日期,产品,价格
2021年11月26日,鸭梨,2.6
2021年11月27日,鸭梨,2.8
2021年11月28日,鸭梨,2.8
2021年11月29日,鸭梨,2.8
2021年11月30日,鸭梨,2.8
2021年12月1日,鸭梨,2.8
2021年12月2日,鸭梨,3.2
2021年12月3日,鸭梨,3.2
2021年12月4日,鸭梨,3.2
2021年12月6日,鸭梨,3.2
2021年12月7日,鸭梨,3.2
2021年12月8日,鸭梨,3.2
2021年12月9日,鸭梨,3.2
2021年12月10日,鸭梨,3.2
2021年12月12日,鸭梨,3.2
2021年12月13日,鸭梨,3.2
2021年12月14日,鸭梨,2.8
2021年12月16日,鸭梨,3.2
2021年12月17日,鸭梨,3.2
2021年12月18日,鸭梨,3.2
2021年12月19日,鸭梨,3.2
2021年12月20日,鸭梨,3.2
2021年12月21日,鸭梨,3.2
2021年12月22日,鸭梨,3.6
2021年12月23日,鸭梨,3.6
2021年12月25日,鸭梨,3.6
2021年12月26日,鸭梨,3.6
2021年12月27日,鸭梨,3.6
2021年12月28日,鸭梨,3.6
2021年12月29日,鸭梨,3.6
2021年12月30日,鸭梨,3.4
2021年12月31日,鸭梨,3.4
2022年1月1日,鸭梨,3.4
2022年1月2日,鸭梨,3.6
2022年1月3日,鸭梨,3.6
2022年1月4日,鸭梨,3.6
2022年1月5日,鸭梨,3.6
2022年1月6日,鸭梨,3.6
2022年1月7日,鸭梨,3.6
2022年1月8日,鸭梨,3.4
2022年1月9日,鸭梨,3.4
2022年1月10日,鸭梨,3.4
2022年1月11日,鸭梨,3.4
2022年1月12日,鸭梨,3.4
2022年1月13日,鸭梨,3.4
2022年1月14日,鸭梨,3.4
2022年1月15日,鸭梨,3.4
2022年1月16日,鸭梨,3.3
2022年1月17日,鸭梨,3.3
2022年1月18日,鸭梨,3.3
2022年1月20日,鸭梨,3.2
2022年1月21日,鸭梨,3.2
2022年1月22日,鸭梨,3.8
2022年1月23日,鸭梨,3.8
2022年1月24日,鸭梨,3.8
2022年1月25日,鸭梨,3.8
2022年1月26日,鸭梨,3.8
2022年1月27日,鸭梨,3.8
2022年1月28日,鸭梨,3.8
2022年1月29日,鸭梨,3.8
2022年1月30日,鸭梨,4
2022年1月31日,鸭梨,4
2022年2月1日,鸭梨,4
2022年2月7日,鸭梨,4
2022年2月8日,鸭梨,4
2022年2月9日,鸭梨,4
2022年2月10日,鸭梨,4
