日期,产品,价格
2025年04月11日,冬瓜,2.54
2025年04月12日,冬瓜,2.56
2025年04月13日,冬瓜,2.57
2025年04月14日,冬瓜,2.55
2025年04月15日,冬瓜,2.54
2025年04月16日,冬瓜,2.56
2025年04月17日,冬瓜,2.57
2025年04月18日,冬瓜,2.56
2025年04月19日,冬瓜,2.57
2025年04月20日,冬瓜,2.57
2025年04月21日,冬瓜,2.57
2025年04月22日,冬瓜,2.55
2025年04月23日,冬瓜,2.57
2025年04月24日,冬瓜,2.57
2025年04月25日,冬瓜,2.58
2025年04月26日,冬瓜,2.57
2025年04月27日,冬瓜,2.57
2025年04月28日,冬瓜,2.58
2025年04月29日,冬瓜,2.56
2025年04月30日,冬瓜,2.55
2025年05月01日,冬瓜,2.54
2025年05月02日,冬瓜,2.54
2025年05月03日,冬瓜,2.53
2025年05月04日,冬瓜,2.53
2025年05月05日,冬瓜,2.54
2025年05月06日,冬瓜,2.53
2025年05月07日,冬瓜,2.53
2025年05月08日,冬瓜,2.51
2025年05月09日,冬瓜,2.5
2025年05月10日,冬瓜,2.5
