日期,产品,价格
2025年04月11日,南瓜,3.59
2025年04月12日,南瓜,3.56
2025年04月13日,南瓜,3.59
2025年04月14日,南瓜,3.63
2025年04月15日,南瓜,3.61
2025年04月16日,南瓜,3.6
2025年04月17日,南瓜,3.61
2025年04月18日,南瓜,3.65
2025年04月19日,南瓜,3.63
2025年04月20日,南瓜,3.55
2025年04月21日,南瓜,3.62
2025年04月22日,南瓜,3.62
2025年04月23日,南瓜,3.62
2025年04月24日,南瓜,3.61
2025年04月25日,南瓜,3.59
2025年04月26日,南瓜,3.62
2025年04月27日,南瓜,3.55
2025年04月28日,南瓜,3.55
2025年04月29日,南瓜,3.6
2025年04月30日,南瓜,3.54
2025年05月01日,南瓜,3.54
2025年05月02日,南瓜,3.54
2025年05月03日,南瓜,3.58
2025年05月04日,南瓜,3.56
2025年05月05日,南瓜,3.56
2025年05月06日,南瓜,3.54
2025年05月07日,南瓜,3.53
2025年05月08日,南瓜,3.54
2025年05月09日,南瓜,3.5
2025年05月10日,南瓜,3.5
