日期,产品,价格
2025年04月11日,土豆,1.91
2025年04月12日,土豆,1.9
2025年04月13日,土豆,1.89
2025年04月14日,土豆,1.9
2025年04月15日,土豆,1.9
2025年04月16日,土豆,1.9
2025年04月17日,土豆,1.9
2025年04月18日,土豆,1.91
2025年04月19日,土豆,1.92
2025年04月20日,土豆,1.91
2025年04月21日,土豆,1.9
2025年04月22日,土豆,1.9
2025年04月23日,土豆,1.91
2025年04月24日,土豆,1.9
2025年04月25日,土豆,1.92
2025年04月26日,土豆,1.91
2025年04月27日,土豆,1.91
2025年04月28日,土豆,1.91
2025年04月29日,土豆,1.9
2025年04月30日,土豆,1.91
2025年05月01日,土豆,1.92
2025年05月02日,土豆,1.91
2025年05月03日,土豆,1.91
2025年05月04日,土豆,1.91
2025年05月05日,土豆,1.9
2025年05月06日,土豆,1.91
2025年05月07日,土豆,1.92
2025年05月08日,土豆,1.93
2025年05月09日,土豆,1.92
2025年05月10日,土豆,1.92
