日期,产品,价格
2025年04月11日,大白菜,1.09
2025年04月12日,大白菜,1.1
2025年04月13日,大白菜,1.1
2025年04月14日,大白菜,1.11
2025年04月15日,大白菜,1.12
2025年04月16日,大白菜,1.13
2025年04月17日,大白菜,1.13
2025年04月18日,大白菜,1.13
2025年04月19日,大白菜,1.13
2025年04月20日,大白菜,1.13
2025年04月21日,大白菜,1.15
2025年04月22日,大白菜,1.16
2025年04月23日,大白菜,1.17
2025年04月24日,大白菜,1.17
2025年04月25日,大白菜,1.18
2025年04月26日,大白菜,1.18
2025年04月27日,大白菜,1.18
2025年04月28日,大白菜,1.19
2025年04月29日,大白菜,1.19
2025年04月30日,大白菜,1.2
2025年05月01日,大白菜,1.2
2025年05月02日,大白菜,1.21
2025年05月03日,大白菜,1.21
2025年05月04日,大白菜,1.21
2025年05月05日,大白菜,1.21
2025年05月06日,大白菜,1.21
2025年05月07日,大白菜,1.21
2025年05月08日,大白菜,1.21
2025年05月09日,大白菜,1.21
2025年05月10日,大白菜,1.22
