日期,产品,价格
2025年04月11日,大葱,2.73
2025年04月12日,大葱,2.71
2025年04月13日,大葱,2.7
2025年04月14日,大葱,2.71
2025年04月15日,大葱,2.74
2025年04月16日,大葱,2.75
2025年04月17日,大葱,2.75
2025年04月18日,大葱,2.75
2025年04月19日,大葱,2.74
2025年04月20日,大葱,2.74
2025年04月21日,大葱,2.73
2025年04月22日,大葱,2.75
2025年04月23日,大葱,2.75
2025年04月24日,大葱,2.76
2025年04月25日,大葱,2.76
2025年04月26日,大葱,2.77
2025年04月27日,大葱,2.75
2025年04月28日,大葱,2.74
2025年04月29日,大葱,2.73
2025年04月30日,大葱,2.73
2025年05月01日,大葱,2.75
2025年05月02日,大葱,2.76
2025年05月03日,大葱,2.77
2025年05月04日,大葱,2.78
2025年05月05日,大葱,2.78
2025年05月06日,大葱,2.78
2025年05月07日,大葱,2.79
2025年05月08日,大葱,2.79
2025年05月09日,大葱,2.79
2025年05月10日,大葱,2.79
