日期,产品,价格
2025年04月11日,大蒜,10.52
2025年04月12日,大蒜,10.6
2025年04月13日,大蒜,10.58
2025年04月14日,大蒜,10.74
2025年04月15日,大蒜,10.75
2025年04月16日,大蒜,10.82
2025年04月17日,大蒜,10.73
2025年04月18日,大蒜,10.59
2025年04月19日,大蒜,10.64
2025年04月20日,大蒜,10.49
2025年04月21日,大蒜,10.62
2025年04月22日,大蒜,10.64
2025年04月23日,大蒜,10.65
2025年04月24日,大蒜,10.6
2025年04月25日,大蒜,10.59
2025年04月26日,大蒜,10.49
2025年04月27日,大蒜,10.57
2025年04月28日,大蒜,10.58
2025年04月29日,大蒜,10.56
2025年04月30日,大蒜,10.65
2025年05月01日,大蒜,10.6
2025年05月02日,大蒜,10.46
2025年05月03日,大蒜,10.43
2025年05月04日,大蒜,10.46
2025年05月05日,大蒜,10.5
2025年05月06日,大蒜,10.5
2025年05月07日,大蒜,10.59
2025年05月08日,大蒜,10.55
2025年05月09日,大蒜,10.47
2025年05月10日,大蒜,10.41
