日期,产品,价格
2025年04月11日,富士苹果,7.7
2025年04月12日,富士苹果,7.67
2025年04月13日,富士苹果,7.64
2025年04月14日,富士苹果,7.65
2025年04月15日,富士苹果,7.6
2025年04月16日,富士苹果,7.61
2025年04月17日,富士苹果,7.53
2025年04月18日,富士苹果,7.57
2025年04月19日,富士苹果,7.51
2025年04月20日,富士苹果,7.5
2025年04月21日,富士苹果,7.49
2025年04月22日,富士苹果,7.49
2025年04月23日,富士苹果,7.48
2025年04月24日,富士苹果,7.49
2025年04月25日,富士苹果,7.5
2025年04月26日,富士苹果,7.44
2025年04月27日,富士苹果,7.47
2025年04月28日,富士苹果,7.47
2025年04月29日,富士苹果,7.46
2025年04月30日,富士苹果,7.47
2025年05月01日,富士苹果,7.47
2025年05月02日,富士苹果,7.47
2025年05月03日,富士苹果,7.46
2025年05月04日,富士苹果,7.43
2025年05月05日,富士苹果,7.45
2025年05月06日,富士苹果,7.42
2025年05月07日,富士苹果,7.42
2025年05月08日,富士苹果,7.41
2025年05月09日,富士苹果,7.43
2025年05月10日,富士苹果,7.45
