日期,产品,价格
2025年04月11日,巨峰葡萄,9.79
2025年04月12日,巨峰葡萄,9.81
2025年04月13日,巨峰葡萄,9.82
2025年04月14日,巨峰葡萄,9.83
2025年04月15日,巨峰葡萄,9.76
2025年04月16日,巨峰葡萄,9.81
2025年04月17日,巨峰葡萄,9.84
2025年04月18日,巨峰葡萄,9.77
2025年04月19日,巨峰葡萄,9.82
2025年04月20日,巨峰葡萄,9.81
2025年04月21日,巨峰葡萄,9.84
2025年04月22日,巨峰葡萄,9.82
2025年04月23日,巨峰葡萄,9.85
2025年04月24日,巨峰葡萄,9.88
2025年04月25日,巨峰葡萄,9.84
2025年04月26日,巨峰葡萄,9.84
2025年04月27日,巨峰葡萄,9.84
2025年04月28日,巨峰葡萄,9.87
2025年04月29日,巨峰葡萄,9.89
2025年04月30日,巨峰葡萄,9.87
2025年05月01日,巨峰葡萄,9.99
2025年05月02日,巨峰葡萄,10.02
2025年05月03日,巨峰葡萄,9.93
2025年05月04日,巨峰葡萄,9.95
2025年05月05日,巨峰葡萄,9.98
2025年05月06日,巨峰葡萄,10.03
2025年05月07日,巨峰葡萄,10.04
2025年05月08日,巨峰葡萄,10.11
2025年05月09日,巨峰葡萄,10.05
2025年05月10日,巨峰葡萄,10.09
