日期,产品,价格
2025年04月11日,平菇,6.26
2025年04月12日,平菇,6.18
2025年04月13日,平菇,6.18
2025年04月14日,平菇,6.18
2025年04月15日,平菇,6.19
2025年04月16日,平菇,6.19
2025年04月17日,平菇,6.15
2025年04月18日,平菇,6.18
2025年04月19日,平菇,6.12
2025年04月20日,平菇,6.1
2025年04月21日,平菇,6.13
2025年04月22日,平菇,6.11
2025年04月23日,平菇,6.14
2025年04月24日,平菇,6.16
2025年04月25日,平菇,6.17
2025年04月26日,平菇,6.22
2025年04月27日,平菇,6.27
2025年04月28日,平菇,6.33
2025年04月29日,平菇,6.35
2025年04月30日,平菇,6.34
2025年05月01日,平菇,6.3
2025年05月02日,平菇,6.33
2025年05月03日,平菇,6.28
2025年05月04日,平菇,6.32
2025年05月05日,平菇,6.34
2025年05月06日,平菇,6.3
2025年05月07日,平菇,6.22
2025年05月08日,平菇,6.23
2025年05月09日,平菇,6.22
2025年05月10日,平菇,6.25
