日期,产品,价格
2025年04月11日,油菜,2.34
2025年04月12日,油菜,2.34
2025年04月13日,油菜,2.36
2025年04月14日,油菜,2.38
2025年04月15日,油菜,2.37
2025年04月16日,油菜,2.37
2025年04月17日,油菜,2.38
2025年04月18日,油菜,2.38
2025年04月19日,油菜,2.37
2025年04月20日,油菜,2.37
2025年04月21日,油菜,2.38
2025年04月22日,油菜,2.38
2025年04月23日,油菜,2.38
2025年04月24日,油菜,2.4
2025年04月25日,油菜,2.39
2025年04月26日,油菜,2.39
2025年04月27日,油菜,2.4
2025年04月28日,油菜,2.4
2025年04月29日,油菜,2.41
2025年04月30日,油菜,2.41
2025年05月01日,油菜,2.43
2025年05月02日,油菜,2.44
2025年05月03日,油菜,2.45
2025年05月04日,油菜,2.44
2025年05月05日,油菜,2.45
2025年05月06日,油菜,2.46
2025年05月07日,油菜,2.47
2025年05月08日,油菜,2.47
2025年05月09日,油菜,2.48
2025年05月10日,油菜,2.46
