日期,产品,价格
2022年01月22日,洋白菜,1.77
2022年01月23日,洋白菜,1.71
2022年01月24日,洋白菜,1.7
2022年01月25日,洋白菜,1.67
2022年01月26日,洋白菜,1.67
2022年01月27日,洋白菜,1.66
2022年01月28日,洋白菜,1.64
2022年01月29日,洋白菜,1.63
2022年01月30日,洋白菜,1.64
2022年01月31日,洋白菜,1.63
2022年02月01日,洋白菜,1.63
2022年02月02日,洋白菜,1.61
2022年02月03日,洋白菜,1.59
2022年02月04日,洋白菜,1.58
2022年02月05日,洋白菜,1.55
2022年02月06日,洋白菜,1.52
2022年02月07日,洋白菜,1.52
2022年02月08日,洋白菜,1.5
2022年02月09日,洋白菜,1.47
2022年02月10日,洋白菜,1.46
2022年02月11日,洋白菜,1.45
2022年02月12日,洋白菜,1.44
2022年02月13日,洋白菜,1.46
2022年02月14日,洋白菜,1.46
2022年02月15日,洋白菜,1.47
2022年02月16日,洋白菜,1.46
2022年02月17日,洋白菜,1.45
2022年02月18日,洋白菜,1.45
2022年02月19日,洋白菜,1.46
2022年02月20日,洋白菜,1.45
