日期,产品,价格
2025年04月11日,活草鱼,17.82
2025年04月12日,活草鱼,17.87
2025年04月13日,活草鱼,17.86
2025年04月14日,活草鱼,17.96
2025年04月15日,活草鱼,17.89
2025年04月16日,活草鱼,17.94
2025年04月17日,活草鱼,17.92
2025年04月18日,活草鱼,17.85
2025年04月19日,活草鱼,17.86
2025年04月20日,活草鱼,17.86
2025年04月21日,活草鱼,17.84
2025年04月22日,活草鱼,17.7
2025年04月23日,活草鱼,17.74
2025年04月24日,活草鱼,17.78
2025年04月25日,活草鱼,17.84
2025年04月26日,活草鱼,17.79
2025年04月27日,活草鱼,17.79
2025年04月28日,活草鱼,17.77
2025年04月29日,活草鱼,17.73
2025年04月30日,活草鱼,17.73
2025年05月01日,活草鱼,17.75
2025年05月02日,活草鱼,17.73
2025年05月03日,活草鱼,17.67
2025年05月04日,活草鱼,17.7
2025年05月05日,活草鱼,17.67
2025年05月06日,活草鱼,17.69
2025年05月07日,活草鱼,17.61
2025年05月08日,活草鱼,17.64
2025年05月09日,活草鱼,17.68
2025年05月10日,活草鱼,17.64
