日期,产品,价格
2025年04月11日,活鲤鱼,13.36
2025年04月12日,活鲤鱼,13.35
2025年04月13日,活鲤鱼,13.29
2025年04月14日,活鲤鱼,13.32
2025年04月15日,活鲤鱼,13.29
2025年04月16日,活鲤鱼,13.28
2025年04月17日,活鲤鱼,13.33
2025年04月18日,活鲤鱼,13.26
2025年04月19日,活鲤鱼,13.23
2025年04月20日,活鲤鱼,13.24
2025年04月21日,活鲤鱼,13.23
2025年04月22日,活鲤鱼,13.23
2025年04月23日,活鲤鱼,13.19
2025年04月24日,活鲤鱼,13.26
2025年04月25日,活鲤鱼,13.25
2025年04月26日,活鲤鱼,13.24
2025年04月27日,活鲤鱼,13.19
2025年04月28日,活鲤鱼,13.25
2025年04月29日,活鲤鱼,13.22
2025年04月30日,活鲤鱼,13.18
2025年05月01日,活鲤鱼,13.18
2025年05月02日,活鲤鱼,13.23
2025年05月03日,活鲤鱼,13.2
2025年05月04日,活鲤鱼,13.12
2025年05月05日,活鲤鱼,13.13
2025年05月06日,活鲤鱼,13.15
2025年05月07日,活鲤鱼,13.15
2025年05月08日,活鲤鱼,13.17
2025年05月09日,活鲤鱼,13.14
2025年05月10日,活鲤鱼,13.15
