日期,产品,价格
2025年04月11日,活鲫鱼,20.35
2025年04月12日,活鲫鱼,20.29
2025年04月13日,活鲫鱼,20.19
2025年04月14日,活鲫鱼,20.24
2025年04月15日,活鲫鱼,20.34
2025年04月16日,活鲫鱼,20.33
2025年04月17日,活鲫鱼,20.41
2025年04月18日,活鲫鱼,20.35
2025年04月19日,活鲫鱼,20.17
2025年04月20日,活鲫鱼,20.34
2025年04月21日,活鲫鱼,20.3
2025年04月22日,活鲫鱼,20.18
2025年04月23日,活鲫鱼,20.23
2025年04月24日,活鲫鱼,20.44
2025年04月25日,活鲫鱼,20.28
2025年04月26日,活鲫鱼,20.33
2025年04月27日,活鲫鱼,20.39
2025年04月28日,活鲫鱼,20.35
2025年04月29日,活鲫鱼,20.18
2025年04月30日,活鲫鱼,20.19
2025年05月01日,活鲫鱼,20.21
2025年05月02日,活鲫鱼,20.32
2025年05月03日,活鲫鱼,20.12
2025年05月04日,活鲫鱼,20.19
2025年05月05日,活鲫鱼,20.13
2025年05月06日,活鲫鱼,20.11
2025年05月07日,活鲫鱼,20.2
2025年05月08日,活鲫鱼,20.21
2025年05月09日,活鲫鱼,20.06
2025年05月10日,活鲫鱼,20.22
