日期,产品,价格
2025年04月11日,牛肉,59.96
2025年04月12日,牛肉,59.97
2025年04月13日,牛肉,60.04
2025年04月14日,牛肉,59.94
2025年04月15日,牛肉,59.94
2025年04月16日,牛肉,59.96
2025年04月17日,牛肉,60.04
2025年04月18日,牛肉,59.96
2025年04月19日,牛肉,60.0
2025年04月20日,牛肉,60.01
2025年04月21日,牛肉,59.96
2025年04月22日,牛肉,60.01
2025年04月23日,牛肉,59.93
2025年04月24日,牛肉,60.02
2025年04月25日,牛肉,60.02
2025年04月26日,牛肉,59.95
2025年04月27日,牛肉,60.0
2025年04月28日,牛肉,60.07
2025年04月29日,牛肉,59.98
2025年04月30日,牛肉,59.99
2025年05月01日,牛肉,60.05
2025年05月02日,牛肉,60.03
2025年05月03日,牛肉,60.08
2025年05月04日,牛肉,60.06
2025年05月05日,牛肉,60.13
2025年05月06日,牛肉,60.02
2025年05月07日,牛肉,60.0
2025年05月08日,牛肉,60.02
2025年05月09日,牛肉,60.07
2025年05月10日,牛肉,60.08
