日期,产品,价格
2025年04月11日,猪肉(白条猪),19.2
2025年04月12日,猪肉(白条猪),19.19
2025年04月13日,猪肉(白条猪),19.27
2025年04月14日,猪肉(白条猪),19.33
2025年04月15日,猪肉(白条猪),19.34
2025年04月16日,猪肉(白条猪),19.29
2025年04月17日,猪肉(白条猪),19.32
2025年04月18日,猪肉(白条猪),19.31
2025年04月19日,猪肉(白条猪),19.36
2025年04月20日,猪肉(白条猪),19.37
2025年04月21日,猪肉(白条猪),19.3
2025年04月22日,猪肉(白条猪),19.25
2025年04月23日,猪肉(白条猪),19.25
2025年04月24日,猪肉(白条猪),19.21
2025年04月25日,猪肉(白条猪),19.2
2025年04月26日,猪肉(白条猪),19.22
2025年04月27日,猪肉(白条猪),19.23
2025年04月28日,猪肉(白条猪),19.25
2025年04月29日,猪肉(白条猪),19.23
2025年04月30日,猪肉(白条猪),19.28
2025年05月01日,猪肉(白条猪),19.35
2025年05月02日,猪肉(白条猪),19.36
2025年05月03日,猪肉(白条猪),19.32
2025年05月04日,猪肉(白条猪),19.3
2025年05月05日,猪肉(白条猪),19.38
2025年05月06日,猪肉(白条猪),19.36
2025年05月07日,猪肉(白条猪),19.42
2025年05月08日,猪肉(白条猪),19.47
2025年05月09日,猪肉(白条猪),19.47
2025年05月10日,猪肉(白条猪),19.55
