日期,产品,价格
2025年04月11日,生姜,9.36
2025年04月12日,生姜,9.44
2025年04月13日,生姜,9.44
2025年04月14日,生姜,9.5
2025年04月15日,生姜,9.47
2025年04月16日,生姜,9.49
2025年04月17日,生姜,9.48
2025年04月18日,生姜,9.5
2025年04月19日,生姜,9.54
2025年04月20日,生姜,9.54
2025年04月21日,生姜,9.55
2025年04月22日,生姜,9.64
2025年04月23日,生姜,9.64
2025年04月24日,生姜,9.61
2025年04月25日,生姜,9.69
2025年04月26日,生姜,9.7
2025年04月27日,生姜,9.67
2025年04月28日,生姜,9.67
2025年04月29日,生姜,9.61
2025年04月30日,生姜,9.68
2025年05月01日,生姜,9.7
2025年05月02日,生姜,9.68
2025年05月03日,生姜,9.67
2025年05月04日,生姜,9.7
2025年05月05日,生姜,9.67
2025年05月06日,生姜,9.69
2025年05月07日,生姜,9.69
2025年05月08日,生姜,9.75
2025年05月09日,生姜,9.78
2025年05月10日,生姜,9.75
