日期,产品,价格
2025年04月11日,生菜,6.23
2025年04月12日,生菜,6.21
2025年04月13日,生菜,6.2
2025年04月14日,生菜,6.24
2025年04月15日,生菜,6.17
2025年04月16日,生菜,6.23
2025年04月17日,生菜,6.19
2025年04月18日,生菜,6.19
2025年04月19日,生菜,6.16
2025年04月20日,生菜,6.17
2025年04月21日,生菜,6.1
2025年04月22日,生菜,6.06
2025年04月23日,生菜,6.01
2025年04月24日,生菜,6.04
2025年04月25日,生菜,5.92
2025年04月26日,生菜,5.92
2025年04月27日,生菜,5.87
2025年04月28日,生菜,5.81
2025年04月29日,生菜,5.8
2025年04月30日,生菜,5.81
2025年05月01日,生菜,5.77
2025年05月02日,生菜,5.74
2025年05月03日,生菜,5.76
2025年05月04日,生菜,5.76
2025年05月05日,生菜,5.75
2025年05月06日,生菜,5.72
2025年05月07日,生菜,5.69
2025年05月08日,生菜,5.63
2025年05月09日,生菜,5.62
2025年05月10日,生菜,5.61
