日期,产品,价格
2025年04月11日,白鲢活鱼,7.98
2025年04月12日,白鲢活鱼,7.98
2025年04月13日,白鲢活鱼,7.97
2025年04月14日,白鲢活鱼,7.97
2025年04月15日,白鲢活鱼,7.97
2025年04月16日,白鲢活鱼,7.97
2025年04月17日,白鲢活鱼,7.96
2025年04月18日,白鲢活鱼,7.96
2025年04月19日,白鲢活鱼,7.95
2025年04月20日,白鲢活鱼,7.95
2025年04月21日,白鲢活鱼,7.94
2025年04月22日,白鲢活鱼,7.94
2025年04月23日,白鲢活鱼,7.94
2025年04月24日,白鲢活鱼,7.93
2025年04月25日,白鲢活鱼,7.93
2025年04月26日,白鲢活鱼,7.92
2025年04月27日,白鲢活鱼,7.92
2025年04月28日,白鲢活鱼,7.92
2025年04月29日,白鲢活鱼,7.91
2025年04月30日,白鲢活鱼,7.91
2025年05月01日,白鲢活鱼,7.91
2025年05月02日,白鲢活鱼,7.9
2025年05月03日,白鲢活鱼,7.9
2025年05月04日,白鲢活鱼,7.9
2025年05月05日,白鲢活鱼,7.9
2025年05月06日,白鲢活鱼,7.89
2025年05月07日,白鲢活鱼,7.89
2025年05月08日,白鲢活鱼,7.89
2025年05月09日,白鲢活鱼,7.88
2025年05月10日,白鲢活鱼,7.88
