日期,产品,价格
2025年04月11日,胡萝卜,2.68
2025年04月12日,胡萝卜,2.66
2025年04月13日,胡萝卜,2.64
2025年04月14日,胡萝卜,2.63
2025年04月15日,胡萝卜,2.61
2025年04月16日,胡萝卜,2.6
2025年04月17日,胡萝卜,2.58
2025年04月18日,胡萝卜,2.57
2025年04月19日,胡萝卜,2.55
2025年04月20日,胡萝卜,2.54
2025年04月21日,胡萝卜,2.52
2025年04月22日,胡萝卜,2.51
2025年04月23日,胡萝卜,2.5
2025年04月24日,胡萝卜,2.48
2025年04月25日,胡萝卜,2.47
2025年04月26日,胡萝卜,2.46
2025年04月27日,胡萝卜,2.44
2025年04月28日,胡萝卜,2.43
2025年04月29日,胡萝卜,2.42
2025年04月30日,胡萝卜,2.41
2025年05月01日,胡萝卜,2.39
2025年05月02日,胡萝卜,2.38
2025年05月03日,胡萝卜,2.37
2025年05月04日,胡萝卜,2.36
2025年05月05日,胡萝卜,2.35
2025年05月06日,胡萝卜,2.33
2025年05月07日,胡萝卜,2.32
2025年05月08日,胡萝卜,2.31
2025年05月09日,胡萝卜,2.3
2025年05月10日,胡萝卜,2.29
