日期,产品,价格
2025年04月11日,莲藕,5.69
2025年04月12日,莲藕,5.71
2025年04月13日,莲藕,5.73
2025年04月14日,莲藕,5.74
2025年04月15日,莲藕,5.76
2025年04月16日,莲藕,5.77
2025年04月17日,莲藕,5.79
2025年04月18日,莲藕,5.8
2025年04月19日,莲藕,5.81
2025年04月20日,莲藕,5.83
2025年04月21日,莲藕,5.84
2025年04月22日,莲藕,5.85
2025年04月23日,莲藕,5.86
2025年04月24日,莲藕,5.88
2025年04月25日,莲藕,5.89
2025年04月26日,莲藕,5.9
2025年04月27日,莲藕,5.91
2025年04月28日,莲藕,5.92
2025年04月29日,莲藕,5.93
2025年04月30日,莲藕,5.94
2025年05月01日,莲藕,5.95
2025年05月02日,莲藕,5.96
2025年05月03日,莲藕,5.97
2025年05月04日,莲藕,5.98
2025年05月05日,莲藕,5.99
2025年05月06日,莲藕,6.0
2025年05月07日,莲藕,6.01
2025年05月08日,莲藕,6.02
2025年05月09日,莲藕,6.03
2025年05月10日,莲藕,6.04
