日期,产品,价格
2025年04月11日,西葫芦,1.86
2025年04月12日,西葫芦,1.85
2025年04月13日,西葫芦,1.84
2025年04月14日,西葫芦,1.84
2025年04月15日,西葫芦,1.83
2025年04月16日,西葫芦,1.83
2025年04月17日,西葫芦,1.83
2025年04月18日,西葫芦,1.83
2025年04月19日,西葫芦,1.83
2025年04月20日,西葫芦,1.83
2025年04月21日,西葫芦,1.83
2025年04月22日,西葫芦,1.83
2025年04月23日,西葫芦,1.83
2025年04月24日,西葫芦,1.83
2025年04月25日,西葫芦,1.83
2025年04月26日,西葫芦,1.83
2025年04月27日,西葫芦,1.83
2025年04月28日,西葫芦,1.83
2025年04月29日,西葫芦,1.82
2025年04月30日,西葫芦,1.82
2025年05月01日,西葫芦,1.82
2025年05月02日,西葫芦,1.82
2025年05月03日,西葫芦,1.82
2025年05月04日,西葫芦,1.82
2025年05月05日,西葫芦,1.82
2025年05月06日,西葫芦,1.82
2025年05月07日,西葫芦,1.82
2025年05月08日,西葫芦,1.82
2025年05月09日,西葫芦,1.82
2025年05月10日,西葫芦,1.82
