日期,产品,价格
2025年04月11日,豆角,7.19
2025年04月12日,豆角,7.19
2025年04月13日,豆角,7.2
2025年04月14日,豆角,7.2
2025年04月15日,豆角,7.2
2025年04月16日,豆角,7.19
2025年04月17日,豆角,7.19
2025年04月18日,豆角,7.19
2025年04月19日,豆角,7.19
2025年04月20日,豆角,7.18
2025年04月21日,豆角,7.18
2025年04月22日,豆角,7.18
2025年04月23日,豆角,7.18
2025年04月24日,豆角,7.18
2025年04月25日,豆角,7.18
2025年04月26日,豆角,7.17
2025年04月27日,豆角,7.17
2025年04月28日,豆角,7.17
2025年04月29日,豆角,7.17
2025年04月30日,豆角,7.17
2025年05月01日,豆角,7.16
2025年05月02日,豆角,7.16
2025年05月03日,豆角,7.16
2025年05月04日,豆角,7.16
2025年05月05日,豆角,7.16
2025年05月06日,豆角,7.15
2025年05月07日,豆角,7.15
2025年05月08日,豆角,7.15
2025年05月09日,豆角,7.15
2025年05月10日,豆角,7.15
