日期,产品,价格
2025年04月11日,青椒,4.94
2025年04月12日,青椒,4.91
2025年04月13日,青椒,4.88
2025年04月14日,青椒,4.85
2025年04月15日,青椒,4.83
2025年04月16日,青椒,4.8
2025年04月17日,青椒,4.78
2025年04月18日,青椒,4.75
2025年04月19日,青椒,4.73
2025年04月20日,青椒,4.7
2025年04月21日,青椒,4.67
2025年04月22日,青椒,4.65
2025年04月23日,青椒,4.62
2025年04月24日,青椒,4.6
2025年04月25日,青椒,4.57
2025年04月26日,青椒,4.55
2025年04月27日,青椒,4.52
2025年04月28日,青椒,4.49
2025年04月29日,青椒,4.47
2025年04月30日,青椒,4.44
2025年05月01日,青椒,4.42
2025年05月02日,青椒,4.39
2025年05月03日,青椒,4.37
2025年05月04日,青椒,4.34
2025年05月05日,青椒,4.31
2025年05月06日,青椒,4.29
2025年05月07日,青椒,4.26
2025年05月08日,青椒,4.24
2025年05月09日,青椒,4.21
2025年05月10日,青椒,4.18
