日期,产品,价格
2025年04月11日,韭菜,4.14
2025年04月12日,韭菜,4.11
2025年04月13日,韭菜,4.08
2025年04月14日,韭菜,4.06
2025年04月15日,韭菜,4.03
2025年04月16日,韭菜,4.0
2025年04月17日,韭菜,3.98
2025年04月18日,韭菜,3.95
2025年04月19日,韭菜,3.93
2025年04月20日,韭菜,3.9
2025年04月21日,韭菜,3.88
2025年04月22日,韭菜,3.85
2025年04月23日,韭菜,3.83
2025年04月24日,韭菜,3.8
2025年04月25日,韭菜,3.78
2025年04月26日,韭菜,3.75
2025年04月27日,韭菜,3.73
2025年04月28日,韭菜,3.71
2025年04月29日,韭菜,3.68
2025年04月30日,韭菜,3.66
2025年05月01日,韭菜,3.64
2025年05月02日,韭菜,3.62
2025年05月03日,韭菜,3.59
2025年05月04日,韭菜,3.57
2025年05月05日,韭菜,3.55
2025年05月06日,韭菜,3.53
2025年05月07日,韭菜,3.51
2025年05月08日,韭菜,3.49
2025年05月09日,韭菜,3.46
2025年05月10日,韭菜,3.44
