日期,产品,价格
2025年04月11日,香菇,11.99
2025年04月12日,香菇,12.04
2025年04月13日,香菇,12.09
2025年04月14日,香菇,12.15
2025年04月15日,香菇,12.22
2025年04月16日,香菇,12.28
2025年04月17日,香菇,12.34
2025年04月18日,香菇,12.4
2025年04月19日,香菇,12.46
2025年04月20日,香菇,12.52
2025年04月21日,香菇,12.58
2025年04月22日,香菇,12.63
2025年04月23日,香菇,12.69
2025年04月24日,香菇,12.74
2025年04月25日,香菇,12.8
2025年04月26日,香菇,12.85
2025年04月27日,香菇,12.91
2025年04月28日,香菇,12.96
2025年04月29日,香菇,13.01
2025年04月30日,香菇,13.06
2025年05月01日,香菇,13.11
2025年05月02日,香菇,13.16
2025年05月03日,香菇,13.21
2025年05月04日,香菇,13.26
2025年05月05日,香菇,13.3
2025年05月06日,香菇,13.35
2025年05月07日,香菇,13.39
2025年05月08日,香菇,13.44
2025年05月09日,香菇,13.48
2025年05月10日,香菇,13.52
