日期,产品,价格
2025年04月11日,香蕉,6.05
2025年04月12日,香蕉,6.08
2025年04月13日,香蕉,6.12
2025年04月14日,香蕉,6.15
2025年04月15日,香蕉,6.19
2025年04月16日,香蕉,6.22
2025年04月17日,香蕉,6.25
2025年04月18日,香蕉,6.28
2025年04月19日,香蕉,6.31
2025年04月20日,香蕉,6.34
2025年04月21日,香蕉,6.37
2025年04月22日,香蕉,6.4
2025年04月23日,香蕉,6.43
2025年04月24日,香蕉,6.46
2025年04月25日,香蕉,6.49
2025年04月26日,香蕉,6.52
2025年04月27日,香蕉,6.55
2025年04月28日,香蕉,6.57
2025年04月29日,香蕉,6.6
2025年04月30日,香蕉,6.63
2025年05月01日,香蕉,6.65
2025年05月02日,香蕉,6.68
2025年05月03日,香蕉,6.7
2025年05月04日,香蕉,6.73
2025年05月05日,香蕉,6.75
2025年05月06日,香蕉,6.78
2025年05月07日,香蕉,6.8
2025年05月08日,香蕉,6.82
2025年05月09日,香蕉,6.85
2025年05月10日,香蕉,6.87
