日期,产品,价格
2025年04月11日,鸡蛋,7.5
2025年04月12日,鸡蛋,7.48
2025年04月13日,鸡蛋,7.49
2025年04月14日,鸡蛋,7.48
2025年04月15日,鸡蛋,7.46
2025年04月16日,鸡蛋,7.43
2025年04月17日,鸡蛋,7.41
2025年04月18日,鸡蛋,7.39
2025年04月19日,鸡蛋,7.38
2025年04月20日,鸡蛋,7.37
2025年04月21日,鸡蛋,7.35
2025年04月22日,鸡蛋,7.33
2025年04月23日,鸡蛋,7.31
2025年04月24日,鸡蛋,7.29
2025年04月25日,鸡蛋,7.28
2025年04月26日,鸡蛋,7.26
2025年04月27日,鸡蛋,7.24
2025年04月28日,鸡蛋,7.23
2025年04月29日,鸡蛋,7.21
2025年04月30日,鸡蛋,7.19
2025年05月01日,鸡蛋,7.17
2025年05月02日,鸡蛋,7.16
2025年05月03日,鸡蛋,7.14
2025年05月04日,鸡蛋,7.12
2025年05月05日,鸡蛋,7.1
2025年05月06日,鸡蛋,7.09
2025年05月07日,鸡蛋,7.07
2025年05月08日,鸡蛋,7.05
2025年05月09日,鸡蛋,7.03
2025年05月10日,鸡蛋,7.02
