日期,产品,价格
2022年02月11日,鸭梨,4.02
2022年02月12日,鸭梨,4.02
2022年02月13日,鸭梨,4.03
2022年02月14日,鸭梨,4.03
2022年02月15日,鸭梨,4.04
2022年02月16日,鸭梨,4.05
2022年02月17日,鸭梨,4.05
2022年02月18日,鸭梨,4.06
2022年02月19日,鸭梨,4.07
2022年02月20日,鸭梨,4.07
2022年02月21日,鸭梨,4.08
2022年02月22日,鸭梨,4.08
2022年02月23日,鸭梨,4.09
2022年02月24日,鸭梨,4.1
2022年02月25日,鸭梨,4.1
2022年02月26日,鸭梨,4.11
2022年02月27日,鸭梨,4.11
2022年02月28日,鸭梨,4.12
2022年03月01日,鸭梨,4.12
2022年03月02日,鸭梨,4.13
2022年03月03日,鸭梨,4.14
2022年03月04日,鸭梨,4.14
2022年03月05日,鸭梨,4.15
2022年03月06日,鸭梨,4.15
2022年03月07日,鸭梨,4.16
2022年03月08日,鸭梨,4.16
2022年03月09日,鸭梨,4.17
2022年03月10日,鸭梨,4.18
2022年03月11日,鸭梨,4.18
2022年03月12日,鸭梨,4.19
