日期,产品,价格
2025年04月11日,黄瓜,2.89
2025年04月12日,黄瓜,2.88
2025年04月13日,黄瓜,2.88
2025年04月14日,黄瓜,2.89
2025年04月15日,黄瓜,2.9
2025年04月16日,黄瓜,2.9
2025年04月17日,黄瓜,2.91
2025年04月18日,黄瓜,2.91
2025年04月19日,黄瓜,2.92
2025年04月20日,黄瓜,2.93
2025年04月21日,黄瓜,2.93
2025年04月22日,黄瓜,2.94
2025年04月23日,黄瓜,2.95
2025年04月24日,黄瓜,2.95
2025年04月25日,黄瓜,2.96
2025年04月26日,黄瓜,2.96
2025年04月27日,黄瓜,2.97
2025年04月28日,黄瓜,2.98
2025年04月29日,黄瓜,2.98
2025年04月30日,黄瓜,2.99
2025年05月01日,黄瓜,2.99
2025年05月02日,黄瓜,3.0
2025年05月03日,黄瓜,3.01
2025年05月04日,黄瓜,3.01
2025年05月05日,黄瓜,3.02
2025年05月06日,黄瓜,3.02
2025年05月07日,黄瓜,3.03
2025年05月08日,黄瓜,3.04
2025年05月09日,黄瓜,3.04
2025年05月10日,黄瓜,3.05
