日期,冬瓜,南瓜,土豆,大白菜,大葱,大蒜,富士苹果,巨峰葡萄,平菇,油菜,洋白菜,活草鱼,活鲤鱼,活鲫鱼,牛肉,猪肉(白条猪),生姜,生菜,白条鸡,白萝卜,白鲢活鱼,羊肉,胡萝卜,花鲢活鱼,芹菜,茄子,莲藕,莴笋,菜花,菠菜,菠萝,西瓜,西红柿,西葫芦,豆角,青椒,韭菜,香菇,香蕉,鸡蛋,鸭梨,黄瓜
2011-01-01,1.05,1.2,2.1,0.89,1.7,10.2,6.0,,5.15,1.5,1.1,13.5,11.0,9.0,34.3,19.0,5.9,2.0,17.0,1.0,8.5,34.5,,,0.7,2.7,5.0,1.05,2.35,1.55,,,1.7,2.2,5.6,1.4,4.6,9.6,4.0,8.8,,2.2
2011-01-02,1.05,1.2,2.1,0.89,1.7,10.2,6.0,,5.15,1.5,1.1,13.5,11.0,9.0,34.3,19.0,5.9,2.0,17.0,1.0,8.5,34.5,,,0.7,2.7,5.0,1.05,2.35,1.55,,,1.7,2.2,5.6,1.4,4.6,9.6,4.0,8.8,,2.2
2011-01-03,0.9,1.2,2.0,0.8,1.4,8.6,,,4.3,1.2,1.1,14.0,12.0,8.0,36.0,19.0,6.4,1.0,17.0,,8.5,36.0,,,0.7,2.7,4.0,0.9,2.5,1.4,,,1.8,2.4,6.2,,5.0,,,9.0,,2.4
2011-01-04,1.05,1.2,2.1,0.9,1.7,10.2,6.0,,5.35,1.8,1.1,13.5,11.0,9.0,34.3,19.0,6.2,2.3,17.0,1.0,8.5,34.5,,,0.7,2.7,5.0,1.25,3.25,2.2,,,2.2,2.2,5.6,3.2,5.2,8.0,4.0,8.8,,2.7
2011-01-05,1.05,1.2,2.1,0.9,1.7,10.2,6.0,,5.35,1.8,1.1,13.5,11.0,9.0,35.0,19.0,6.2,2.3,17.0,1.0,8.5,35.5,,,0.7,2.7,5.0,1.25,3.25,2.2,,,2.2,2.2,5.6,3.2,5.2,8.0,4.0,8.8,,2.7
2011-01-06,1.2,,2.2,1.0,2.0,11.8,6.0,,6.4,2.4,,13.0,10.0,10.0,34.0,,6.0,3.6,,1.0,,35.0,,,0.7,,6.0,1.6,4.0,3.0,,,2.6,2.0,5.0,3.2,5.4,8.0,4.0,8.6,,3.0
2011-01-07,1.05,1.2,2.1,0.9,1.7,10.2,6.0,,5.35,1.8,1.1,13.5,11.0,9.0,35.0,19.0,6.2,2.3,17.0,1.0,8.5,35.5,,,0.7,2.7,5.0,1.25,3.25,2.2,,,2.2,2.2,5.6,3.2,5.2,8.0,4.0,8.8,,2.7
2011-01-08,1.05,1.2,2.1,0.9,1.7,10.2,6.0,,5.35,1.8,1.1,13.5,11.0,9.0,35.0,19.0,6.2,2.3,17.0,1.0,8.5,35.5,,,0.7,2.7,5.0,1.25,3.25,2.2,,,2.2,2.2,5.6,3.2,5.2,8.0,4.0,8.8,,2.7
2011-01-09,1.05,1.4,2.1,0.95,1.7,10.4,6.0,,5.35,2.0,1.1,13.5,11.0,9.0,37.0,20.0,6.35,2.65,18.0,1.0,8.5,37.5,,,0.65,2.7,5.0,1.25,3.3,2.2,,,2.5,2.35,5.3,3.2,5.5,8.0,4.0,8.8,,3.0
2011-01-10,1.05,1.4,2.1,0.95,1.7,10.4,6.0,,5.35,2.0,1.1,13.5,11.0,9.0,37.0,20.0,6.35,2.65,18.0,1.0,8.5,37.5,,,0.65,2.7,5.0,1.25,3.3,2.0,,,2.5,2.35,5.3,3.2,5.5,8.0,4.0,8.8,,3.0
2011-01-11,1.05,1.4,2.1,0.95,1.7,10.0,6.0,,5.35,2.0,1.1,13.5,11.0,9.0,35.5,20.0,5.95,2.65,18.0,1.0,8.5,37.5,,,0.65,2.7,5.0,1.25,3.3,2.0,,,2.6,2.35,5.3,3.2,5.5,8.0,4.4,8.8,,3.0
2011-01-12,1.25,1.4,2.1,0.95,1.7,11.0,6.0,,5.75,2.0,1.1,13.5,12.0,10.0,36.5,20.0,6.05,2.45,18.0,1.0,8.5,37.5,,,0.7,2.7,4.5,0.9,2.8,2.1,,,2.8,2.95,6.6,4.0,6.1,9.6,4.4,8.8,,3.1
2011-01-13,1.25,1.4,2.1,0.95,1.7,11.0,6.0,,5.75,2.0,1.1,13.5,12.0,10.0,36.5,20.0,6.05,2.45,18.0,1.0,8.5,37.5,,,0.7,2.7,4.5,1.25,2.8,2.1,,,2.8,2.95,6.6,4.0,6.1,9.6,4.4,8.8,,3.1
2011-01-14,1.25,1.4,2.1,0.95,1.7,11.0,6.0,,5.75,2.0,1.1,13.5,12.0,10.0,36.5,20.0,6.05,2.45,18.0,1.0,8.5,37.5,,,0.7,2.7,4.5,1.25,2.8,2.1,,,2.8,2.95,6.6,4.0,6.1,9.6,4.4,8.8,,3.1
