日期,产品,价格
2021年11月26日,巨峰葡萄,5.5
2021年11月27日,巨峰葡萄,5.5
2021年11月28日,巨峰葡萄,5.5
2021年11月29日,巨峰葡萄,5.5
2021年11月30日,巨峰葡萄,5.5
2021年12月1日,巨峰葡萄,5.5
2021年12月2日,巨峰葡萄,5.5
2021年12月3日,巨峰葡萄,5.5
2021年12月4日,巨峰葡萄,5.5
2021年12月6日,巨峰葡萄,5.5
2021年12月7日,巨峰葡萄,6
2021年12月8日,巨峰葡萄,6
2021年12月9日,巨峰葡萄,6.5
2021年12月10日,巨峰葡萄,6.5
2021年12月12日,巨峰葡萄,6.5
2021年12月13日,巨峰葡萄,6.5
2021年12月14日,巨峰葡萄,7
2021年12月16日,巨峰葡萄,7
2021年12月17日,巨峰葡萄,7
2021年12月18日,巨峰葡萄,7
2021年12月19日,巨峰葡萄,7
2021年12月20日,巨峰葡萄,7
2021年12月21日,巨峰葡萄,8
2021年12月22日,巨峰葡萄,7.6
2021年12月23日,巨峰葡萄,7.6
2021年12月25日,巨峰葡萄,7.6
2021年12月26日,巨峰葡萄,7.6
2021年12月27日,巨峰葡萄,7.6
2021年12月28日,巨峰葡萄,7.6
2021年12月29日,巨峰葡萄,7.6
2021年12月30日,巨峰葡萄,7.6
2021年12月31日,巨峰葡萄,7.6
2022年1月1日,巨峰葡萄,7.6
2022年1月2日,巨峰葡萄,7.6
2022年1月3日,巨峰葡萄,7.4
2022年1月4日,巨峰葡萄,7.2
2022年1月5日,巨峰葡萄,7
2022年1月6日,巨峰葡萄,7
2022年1月7日,巨峰葡萄,7
2022年1月8日,巨峰葡萄,7
2022年1月9日,巨峰葡萄,7
2022年1月10日,巨峰葡萄,7
2022年1月11日,巨峰葡萄,7
2022年1月12日,巨峰葡萄,7
2022年1月13日,巨峰葡萄,7
2022年1月14日,巨峰葡萄,7
2022年1月15日,巨峰葡萄,7
2022年1月16日,巨峰葡萄,7
2022年1月17日,巨峰葡萄,7.2
2022年1月18日,巨峰葡萄,6.8
2022年1月20日,巨峰葡萄,7.2
2022年1月21日,巨峰葡萄,7.2
2022年1月22日,巨峰葡萄,7.2
2022年1月23日,巨峰葡萄,7.2
2022年1月24日,巨峰葡萄,7.2
2022年1月25日,巨峰葡萄,7.2
2022年1月26日,巨峰葡萄,7.2
2022年1月27日,巨峰葡萄,7.2
2022年1月28日,巨峰葡萄,7.5
2022年1月29日,巨峰葡萄,7.5
2022年1月30日,巨峰葡萄,7.5
2022年1月31日,巨峰葡萄,7.5
2022年2月1日,巨峰葡萄,7.5
2022年2月7日,巨峰葡萄,7
2022年2月8日,巨峰葡萄,7
2022年2月9日,巨峰葡萄,7
2022年2月10日,巨峰葡萄,7
2022年6月1日,巨峰葡萄,13
2022年6月2日,巨峰葡萄,12
2022年6月5日,巨峰葡萄,12
2022年6月6日,巨峰葡萄,12
2022年6月7日,巨峰葡萄,12
2022年6月8日,巨峰葡萄,12
2022年6月9日,巨峰葡萄,12
2022年6月10日,巨峰葡萄,12
2022年6月13日,巨峰葡萄,13
2022年6月14日,巨峰葡萄,13
2022年6月15日,巨峰葡萄,14
2022年6月16日,巨峰葡萄,14
2022年6月17日,巨峰葡萄,14
2022年6月19日,巨峰葡萄,14
2022年6月21日,巨峰葡萄,14
2022年6月22日,巨峰葡萄,14
2022年6月23日,巨峰葡萄,14
2022年6月26日,巨峰葡萄,15
2022年6月27日,巨峰葡萄,15
2022年6月28日,巨峰葡萄,14.5
2022年6月29日,巨峰葡萄,14
2022年6月30日,巨峰葡萄,13
2022年7月3日,巨峰葡萄,13
2022年7月4日,巨峰葡萄,13
2022年7月5日,巨峰葡萄,13
2022年7月6日,巨峰葡萄,13
2022年7月7日,巨峰葡萄,13
2022年7月8日,巨峰葡萄,13
2022年7月10日,巨峰葡萄,13
2022年7月14日,巨峰葡萄,13
2022年7月15日,巨峰葡萄,13
2022年7月16日,巨峰葡萄,13
2022年7月17日,巨峰葡萄,13
2022年7月19日,巨峰葡萄,12
2022年7月20日,巨峰葡萄,12
2022年7月21日,巨峰葡萄,12
2022年7月22日,巨峰葡萄,12
2022年7月24日,巨峰葡萄,12
2022年7月25日,巨峰葡萄,12
2022年7月26日,巨峰葡萄,12
2022年7月27日,巨峰葡萄,11
2022年7月28日,巨峰葡萄,11
2022年7月29日,巨峰葡萄,11
2022年7月31日,巨峰葡萄,11
2022年8月1日,巨峰葡萄,11
2022年8月2日,巨峰葡萄,11
2022年8月3日,巨峰葡萄,11
2022年8月4日,巨峰葡萄,11
2022年8月5日,巨峰葡萄,10.5
2022年8月7日,巨峰葡萄,10.5
2022年8月8日,巨峰葡萄,10.5
2022年8月9日,巨峰葡萄,11
2022年8月10日,巨峰葡萄,11
2022年8月13日,巨峰葡萄,11
2022年8月14日,巨峰葡萄,11
2022年8月15日,巨峰葡萄,11
2022年8月18日,巨峰葡萄,10.5
2022年8月19日,巨峰葡萄,10.5
2022年8月22日,巨峰葡萄,10.5
2022年8月23日,巨峰葡萄,10.5
2022年8月26日,巨峰葡萄,10.5
2022年8月28日,巨峰葡萄,10.5
2022年8月29日,巨峰葡萄,10.5
2022年8月30日,巨峰葡萄,10.5
2022年8月31日,巨峰葡萄,10.5
2022年9月1日,巨峰葡萄,9
2022年9月4日,巨峰葡萄,7.5
2022年9月5日,巨峰葡萄,7.5
2022年9月6日,巨峰葡萄,7.5
2022年9月7日,巨峰葡萄,7.5
2022年9月8日,巨峰葡萄,7.5
2022年9月9日,巨峰葡萄,7.5
2022年9月11日,巨峰葡萄,7
2022年9月12日,巨峰葡萄,7
2022年9月15日,巨峰葡萄,7
2022年9月16日,巨峰葡萄,7
2022年9月18日,巨峰葡萄,7
2022年9月19日,巨峰葡萄,7
2022年9月20日,巨峰葡萄,7
2022年9月21日,巨峰葡萄,7
2022年9月24日,巨峰葡萄,7.5
2022年9月25日,巨峰葡萄,7.5
2022年9月26日,巨峰葡萄,7.5
2022年9月27日,巨峰葡萄,7.5
2022年9月29日,巨峰葡萄,6.5
2022年9月30日,巨峰葡萄,6.5
2022年10月1日,巨峰葡萄,6.5
2022年10月3日,巨峰葡萄,7
