日期,产品,价格
2019年4月2日,菠萝,2.7
2019年4月3日,菠萝,2.65
2019年4月4日,菠萝,2.8
2019年4月5日,菠萝,2.8
2019年4月6日,菠萝,2.8
2019年4月7日,菠萝,3
2019年4月8日,菠萝,3
2019年4月9日,菠萝,3.5
2019年4月10日,菠萝,3.3
2019年4月11日,菠萝,3.3
2019年4月12日,菠萝,3.5
2019年4月13日,菠萝,3.5
2019年4月14日,菠萝,3.5
2019年4月15日,菠萝,3.5
2019年4月16日,菠萝,3
2019年4月17日,菠萝,3
2019年4月18日,菠萝,3
2019年4月19日,菠萝,3.1
2019年4月21日,菠萝,3.1
2019年4月22日,菠萝,3
2019年4月23日,菠萝,2.8
2019年4月24日,菠萝,3
2019年4月25日,菠萝,3
2019年4月26日,菠萝,3
2019年4月27日,菠萝,3
2019年4月28日,菠萝,3.2
2019年4月29日,菠萝,3
2019年4月30日,菠萝,3
2019年5月1日,菠萝,3
2019年5月2日,菠萝,3.2
2019年5月3日,菠萝,3.2
2019年5月4日,菠萝,3.2
2019年5月5日,菠萝,4.5
2019年5月6日,菠萝,4.5
2019年5月7日,菠萝,4.5
2019年5月8日,菠萝,3.8
2019年5月9日,菠萝,4.3
2019年5月10日,菠萝,4.4
2019年5月11日,菠萝,4.3
2019年5月12日,菠萝,4.3
2019年5月13日,菠萝,3.8
2019年5月14日,菠萝,3.8
2019年5月15日,菠萝,5.5
2019年5月16日,菠萝,5.5
2019年5月17日,菠萝,5.5
2019年5月18日,菠萝,5
2019年5月19日,菠萝,5.5
2019年5月20日,菠萝,5.5
2019年5月21日,菠萝,5.5
2019年5月22日,菠萝,5.5
2019年5月23日,菠萝,5.5
2019年5月24日,菠萝,5.5
2019年5月25日,菠萝,5.5
2019年5月26日,菠萝,5.5
2019年5月27日,菠萝,3.2
2019年5月28日,菠萝,5.5
2019年5月29日,菠萝,9
2019年5月30日,菠萝,9
2019年5月31日,菠萝,8
2019年6月1日,菠萝,9
2019年6月2日,菠萝,9
2019年6月3日,菠萝,8
2019年6月4日,菠萝,8
2019年6月6日,菠萝,8
2019年6月7日,菠萝,8
2019年6月10日,菠萝,0.8
2019年6月11日,菠萝,0.8
2019年11月12日,菠萝,4
2019年11月13日,菠萝,4
2019年11月14日,菠萝,4
2019年11月15日,菠萝,4
2019年11月16日,菠萝,4
2019年11月17日,菠萝,4
2019年11月19日,菠萝,3.8
2019年11月21日,菠萝,3.8
2019年11月22日,菠萝,3.8
2019年11月23日,菠萝,3.8
2019年11月24日,菠萝,3.8
2019年11月25日,菠萝,3.8
2019年11月26日,菠萝,3.8
2019年11月27日,菠萝,3.8
2019年11月28日,菠萝,3.8
2019年11月29日,菠萝,3.8
2019年11月30日,菠萝,3.8
2019年12月1日,菠萝,3.8
2019年12月2日,菠萝,3.8
2019年12月4日,菠萝,3.6
2019年12月5日,菠萝,3.6
2019年12月6日,菠萝,3.6
2019年12月7日,菠萝,3.6
2019年12月8日,菠萝,4.3
2019年12月9日,菠萝,4.3
2019年12月10日,菠萝,4.3
2019年12月11日,菠萝,4.3
2019年12月12日,菠萝,4.2
2019年12月13日,菠萝,4.2
2019年12月14日,菠萝,4.2
2019年12月15日,菠萝,4.2
2019年12月16日,菠萝,3.8
2019年12月17日,菠萝,3.8
2019年12月18日,菠萝,3.8
2019年12月19日,菠萝,3.8
2019年12月20日,菠萝,3.8
2019年12月21日,菠萝,3.8
2019年12月22日,菠萝,3.8
2019年12月23日,菠萝,3.8
2019年12月24日,菠萝,3.8
2019年12月26日,菠萝,3.8
2019年12月27日,菠萝,3.5
2019年12月29日,菠萝,3.5
2019年12月31日,菠萝,3.5
2020年1月1日,菠萝,3.5
2020年1月5日,菠萝,3.8
2020年1月6日,菠萝,4
2020年1月7日,菠萝,3.8
2020年1月8日,菠萝,4
2020年1月9日,菠萝,3.8
2020年1月10日,菠萝,3.8
2020年1月11日,菠萝,3.8
2020年1月12日,菠萝,3.8
2020年1月13日,菠萝,3.8
2020年1月14日,菠萝,3.8
2020年1月15日,菠萝,3.8
2020年1月16日,菠萝,3.8
2020年1月17日,菠萝,3.8
2020年1月18日,菠萝,4
2020年1月19日,菠萝,4
2020年1月20日,菠萝,4
2020年2月3日,菠萝,3.7
2020年2月4日,菠萝,3.7
2020年2月5日,菠萝,2.5
2020年2月7日,菠萝,2.5
2020年2月10日,菠萝,2.5
2020年2月11日,菠萝,2.5
2020年2月12日,菠萝,2.5
2020年2月13日,菠萝,2.5
2020年2月15日,菠萝,2.5
2020年2月17日,菠萝,2.2
2020年2月19日,菠萝,2.4
2020年2月20日,菠萝,2.4
2020年2月21日,菠萝,2.4
2020年2月22日,菠萝,2.4
2020年2月23日,菠萝,2.8
2020年2月24日,菠萝,2.8
2020年2月25日,菠萝,3.2
2020年2月26日,菠萝,3.2
2020年2月27日,菠萝,3.2
